iter	Passed	Remaining
0	1	109
1	2	117
2	3	115
3	4	105
4	5	101
5	6	98
6	7	97
7	8	94
8	9	91
9	9	89
10	10	87
11	11	85
12	12	82
13	13	80
14	13	78
15	14	77
16	16	79
17	17	80
18	18	78
19	19	78
20	20	77
21	21	76
22	22	74
23	23	73
24	23	71
25	24	69
26	25	68
27	26	67
28	26	65
29	27	63
30	28	62
31	28	61
32	29	59
33	30	58
34	30	57
35	31	55
36	32	54
37	32	53
38	33	52
39	34	51
40	34	49
41	34	48
42	35	47
43	36	45
44	36	44
45	36	43
46	37	42
47	38	41
48	38	40
49	39	39
50	39	38
51	40	37
52	40	36
53	41	35
54	41	34
55	42	33
56	43	32
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	46	27
63	47	26
64	47	25
65	48	24
66	49	24
67	49	23
68	50	22
69	50	21
70	51	21
71	52	20
72	52	19
73	53	18
74	53	17
75	54	17
76	54	16
77	55	15
78	55	14
79	56	14
80	57	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	60	9
87	61	8
88	61	7
89	62	6
90	62	6
91	63	5
92	63	4
93	64	4
94	64	3
95	65	2
96	65	2
97	66	1
98	66	0
99	67	0
