iter	Passed	Remaining
0	145	145681
1	146	73117
2	147	48888
3	147	36785
4	148	29520
5	149	24767
6	150	21363
7	151	18782
8	152	16758
9	152	15124
10	153	13794
11	153	12678
12	154	11737
13	155	10926
14	156	10284
15	157	9678
16	157	9131
17	158	8655
18	159	8222
19	159	7828
20	160	7472
21	160	7151
22	161	6867
23	162	6617
24	163	6375
25	164	6147
26	164	5936
27	165	5738
28	165	5556
29	166	5384
30	167	5228
31	168	5088
32	169	4960
33	170	4830
34	170	4704
35	171	4586
36	171	4473
37	172	4366
38	173	4263
39	173	4168
40	174	4086
41	176	4018
42	177	3940
43	177	3863
44	178	3790
45	179	3716
46	179	3647
47	181	3602
48	182	3543
49	183	3483
50	184	3427
51	185	3375
52	186	3328
53	187	3283
54	188	3232
55	188	3182
56	189	3134
57	190	3087
58	190	3041
59	191	2995
60	191	2950
61	192	2909
62	193	2874
63	194	2837
64	194	2800
65	195	2762
66	195	2725
67	196	2689
68	196	2653
69	197	2619
70	197	2585
71	198	2559
72	199	2532
73	200	2503
74	200	2473
75	201	2445
76	201	2418
77	202	2392
78	202	2365
79	203	2339
80	204	2318
81	205	2300
82	205	2274
83	206	2252
84	207	2232
85	208	2213
86	208	2191
87	209	2170
88	210	2155
89	211	2139
90	212	2119
91	212	2100
92	213	2082
93	214	2065
94	214	2046
95	215	2029
96	217	2021
97	218	2008
98	218	1990
99	219	1974
100	220	1959
101	220	1943
102	221	1927
103	221	1911
104	222	1900
105	223	1887
106	224	1875
107	225	1861
108	225	1846
109	226	1832
110	227	1819
111	227	1805
112	228	1793
113	229	1783
114	230	1772
115	230	1760
116	231	1747
117	232	1735
118	232	1723
119	233	1711
120	233	1699
121	234	1687
122	235	1677
123	236	1667
124	236	1657
125	237	1647
126	238	1636
127	238	1624
128	239	1614
129	239	1603
130	240	1593
131	241	1585
132	241	1577
133	242	1568
134	243	1558
135	243	1549
136	244	1540
137	245	1531
138	245	1522
139	246	1513
140	247	1509
141	248	1500
142	248	1492
143	249	1483
144	250	1475
145	250	1466
146	251	1458
147	251	1449
148	252	1442
149	253	1437
150	254	1431
151	255	1424
152	255	1416
153	256	1408
154	256	1400
155	257	1392
156	258	1385
157	258	1378
158	259	1373
159	260	1367
160	260	1359
161	261	1352
162	261	1345
163	262	1338
164	263	1332
165	263	1325
166	264	1318
167	264	1312
168	266	1308
169	266	1302
170	267	1295
171	267	1289
172	268	1283
173	269	1277
174	269	1271
175	270	1264
176	270	1258
177	271	1255
178	272	1249
179	273	1244
180	273	1238
181	274	1232
182	274	1227
183	275	1221
184	276	1216
185	276	1211
186	277	1206
187	278	1202
188	279	1197
189	279	1192
190	280	1187
191	280	1182
192	281	1177
193	282	1172
194	282	1167
195	283	1162
196	284	1158
197	284	1154
198	285	1149
199	286	1144
200	286	1139
201	287	1134
202	287	1129
203	288	1124
204	288	1120
205	289	1116
206	291	1115
207	291	1110
208	292	1106
209	293	1102
210	293	1098
211	294	1093
212	294	1089
213	295	1085
214	296	1082
215	297	1078
216	297	1074
217	298	1070
218	299	1066
219	299	1063
220	300	1059
221	301	1055
222	301	1051
223	302	1048
224	303	1044
225	303	1040
226	304	1036
227	305	1032
228	305	1028
229	306	1024
230	306	1020
231	307	1017
232	308	1014
233	309	1011
234	309	1008
235	310	1005
236	311	1001
237	311	997
238	312	994
239	312	990
240	313	987
241	314	985
242	316	984
243	316	981
244	317	978
245	318	975
246	319	972
247	319	969
248	320	965
249	320	962
250	321	959
251	322	956
252	322	953
253	323	950
254	324	947
255	324	943
256	325	940
257	326	937
258	327	937
259	328	934
260	329	931
261	329	928
262	330	925
263	330	922
264	331	918
265	331	915
266	332	912
267	333	910
268	334	908
269	334	905
270	335	902
271	335	899
272	336	895
273	336	892
274	337	889
275	337	886
276	338	883
277	339	881
278	340	880
279	341	877
280	341	875
281	342	872
282	343	869
283	343	866
284	344	863
285	344	860
286	345	858
287	346	856
288	347	854
289	347	851
290	348	848
291	348	845
292	349	843
293	349	840
294	350	837
295	350	834
296	351	832
297	352	830
298	353	827
299	353	825
300	354	822
301	354	820
302	355	817
303	355	814
304	356	811
305	356	809
306	357	806
307	358	804
308	358	802
309	359	800
310	360	798
311	360	795
312	361	793
313	361	790
314	362	788
315	362	785
316	363	783
317	364	781
318	365	779
319	365	777
320	366	775
321	367	772
322	367	770
323	368	768
324	368	766
325	369	763
326	370	762
327	370	760
328	371	758
329	372	755
330	373	753
331	373	751
332	374	749
333	374	747
334	375	744
335	376	743
336	377	741
337	377	739
338	378	737
339	379	735
340	379	733
341	380	731
342	380	729
343	381	727
344	382	726
345	383	724
346	383	722
347	384	720
348	385	718
349	385	716
350	386	714
351	386	712
352	387	709
353	387	708
354	389	706
355	389	704
356	390	702
357	390	700
358	391	698
359	391	696
360	392	694
361	393	693
362	393	691
363	394	689
364	395	688
365	396	686
366	397	684
367	397	682
368	398	680
369	398	678
370	399	676
371	399	674
372	400	673
373	401	671
374	401	669
375	402	668
376	403	666
377	403	664
378	404	662
379	404	660
380	405	658
381	405	656
382	406	654
383	407	653
384	407	651
385	408	649
386	409	647
387	409	646
388	410	644
389	410	642
390	411	640
391	411	638
392	412	636
393	413	635
394	414	634
395	414	632
396	415	631
397	415	629
398	416	627
399	416	625
400	417	623
401	417	621
402	418	619
403	419	618
404	419	616
405	420	615
406	421	613
407	421	611
408	422	610
409	422	608
410	423	606
411	424	605
412	424	603
413	425	601
414	425	600
415	426	599
416	427	597
417	428	595
418	428	594
419	428	592
420	429	590
421	429	588
422	430	587
423	430	585
424	431	583
425	432	582
426	433	581
427	433	579
428	434	577
429	434	576
430	435	574
431	435	572
432	436	571
433	436	569
434	437	568
435	439	567
436	439	566
437	440	565
438	441	563
439	441	562
440	442	560
441	442	559
442	443	557
443	444	556
444	445	555
445	446	554
446	446	552
447	447	551
448	448	549
449	448	548
450	449	546
451	450	545
452	451	545
453	452	543
454	452	542
455	453	540
456	453	539
457	454	537
458	454	536
459	455	534
460	455	533
461	456	531
462	457	530
463	458	529
464	458	527
465	459	526
466	460	525
467	460	523
468	461	522
469	461	520
470	462	519
471	463	518
472	464	517
473	464	515
474	465	514
475	466	513
476	466	511
477	467	510
478	467	509
479	468	507
480	469	506
481	470	505
482	471	504
483	471	502
484	472	501
485	472	500
486	473	498
487	473	497
488	474	495
489	475	494
490	476	493
491	477	492
492	477	491
493	478	490
494	479	488
495	479	487
496	480	486
497	480	484
498	482	483
499	482	482
500	483	481
501	483	480
502	484	478
503	485	477
504	485	476
505	486	474
506	486	473
507	487	472
508	488	471
509	489	469
510	489	468
511	490	467
512	490	465
513	491	464
514	491	463
515	492	461
516	492	460
517	493	459
518	494	458
519	494	456
520	495	455
521	496	454
522	496	453
523	497	451
524	497	450
525	498	448
526	498	447
527	499	446
528	499	444
529	500	443
530	501	442
531	501	441
532	502	440
533	502	438
534	503	437
535	503	436
536	504	434
537	505	433
538	505	432
539	506	431
540	507	430
541	508	429
542	509	428
543	509	427
544	510	425
545	510	424
546	511	423
547	512	422
548	513	421
549	514	420
550	514	419
551	515	418
552	516	417
553	516	415
554	517	414
555	517	413
556	518	412
557	519	411
558	520	410
559	520	409
560	521	408
561	522	406
562	522	405
563	523	404
564	523	403
565	524	402
566	525	401
567	526	400
568	526	399
569	527	397
570	528	396
571	528	395
572	529	394
573	530	393
574	531	392
575	532	391
576	532	390
577	533	389
578	533	388
579	534	386
580	534	385
581	535	384
582	536	383
583	537	382
584	538	381
585	538	380
586	539	379
587	539	378
588	540	377
589	541	376
590	541	375
591	542	374
592	543	373
593	544	372
594	545	371
595	545	370
596	546	368
597	547	367
598	547	366
599	548	365
600	549	364
601	550	363
602	550	362
603	551	361
604	551	360
605	552	359
606	553	358
607	553	356
608	554	355
609	555	354
610	556	353
611	556	352
612	557	351
613	557	350
614	558	349
615	559	348
616	559	347
617	560	346
618	561	345
619	562	344
620	562	343
621	563	342
622	564	341
623	564	340
624	565	339
625	565	337
626	566	336
627	567	336
628	568	335
629	569	334
630	569	333
631	570	332
632	570	331
633	571	329
634	572	328
635	572	327
636	574	327
637	575	326
638	576	325
639	576	324
640	577	323
641	577	322
642	578	321
643	579	320
644	580	319
645	580	318
646	581	317
647	581	316
648	582	314
649	582	313
650	583	312
651	583	311
652	584	310
653	585	309
654	585	308
655	586	307
656	587	306
657	587	305
658	588	304
659	588	303
660	589	302
661	590	301
662	590	300
663	591	299
664	592	298
665	592	297
666	593	296
667	593	295
668	594	294
669	595	293
670	595	291
671	596	290
672	596	289
673	597	288
674	598	288
675	599	287
676	599	286
677	600	285
678	600	284
679	601	282
680	602	282
681	602	281
682	603	280
683	604	279
684	605	278
685	605	277
686	606	276
687	607	275
688	607	274
689	608	273
690	609	272
691	610	271
692	611	270
693	611	269
694	612	268
695	613	267
696	613	266
697	614	265
698	615	264
699	615	263
700	616	263
701	617	262
702	618	261
703	619	260
704	619	259
705	620	258
706	620	257
707	621	256
708	621	255
709	622	254
710	623	253
711	624	252
712	624	251
713	625	250
714	626	249
715	627	248
716	628	247
717	629	247
718	630	246
719	631	245
720	631	244
721	633	243
722	633	242
723	634	241
724	635	240
725	636	240
726	636	239
727	637	238
728	638	237
729	638	236
730	639	235
731	640	234
732	641	233
733	642	232
734	642	231
735	643	230
736	643	229
737	644	228
738	645	227
739	645	226
740	646	225
741	647	225
742	648	224
743	648	223
744	649	222
745	650	221
746	651	220
747	651	219
748	652	218
749	653	217
750	654	216
751	654	215
752	655	215
753	656	214
754	657	213
755	658	212
756	659	211
757	660	210
758	660	209
759	661	208
760	662	207
761	662	207
762	663	206
763	663	205
764	664	204
765	664	203
766	665	202
767	666	201
768	667	200
769	667	199
770	668	198
771	669	197
772	670	196
773	670	195
774	671	194
775	672	194
776	673	193
777	673	192
778	674	191
779	675	190
780	675	189
781	676	188
782	677	187
783	678	186
784	679	185
785	679	185
786	680	184
787	681	183
788	681	182
789	682	181
790	682	180
791	683	179
792	684	178
793	685	177
794	685	176
795	686	175
796	687	175
797	688	174
798	688	173
799	689	172
800	691	171
801	692	170
802	693	170
803	693	169
804	694	168
805	695	167
806	696	166
807	697	165
808	698	164
809	699	164
810	700	163
811	700	162
812	702	161
813	703	160
814	703	159
815	704	158
816	705	158
817	706	157
818	706	156
819	707	155
820	708	154
821	709	153
822	710	152
823	711	151
824	712	151
825	712	150
826	713	149
827	714	148
828	715	147
829	716	146
830	717	145
831	717	144
832	718	144
833	719	143
834	721	142
835	721	141
836	722	140
837	723	139
838	724	138
839	724	138
840	726	137
841	727	136
